202002121240,1,61
202002121240,2,26
202002121829,1,23
202002121849,1,27
202002121849,2,21
202002123484,1,20
202002123576,1,23
202002125146,1,57
202002125149,1,48
202002125582,1,57
202002125582,2,43
202002125582,3,23
202002125605,1,22
202002125637,1,17
202002125644,1,60
202002125680,1,19
202002125680,2,38
202002125788,1,70
202002125788,2,38
202002125838,1,48
202002125838,2,36
202002125923,1,58
202002125923,2,54
202002125942,1,47
202002125942,2,35
202002125952,1,20
202002126030,1,18
202002126030,2,25
202002126041,1,26
202002126048,1,20
202002126048,2,43
202002126072,1,35
202002126072,2,38
202002126111,1,36
202002126111,2,35
202002126123,1,61
202002126123,2,59
202002126123,3,28
202002126132,1,17
202002126132,2,68
202002126138,1,24
202002126138,2,76
202002126317,1,19
202002126317,2,46
202002126335,1,20
202002126339,1,20
202002126339,2,63
202002126362,1,18
202002126381,1,18
202002126381,2,27
202002126415,1,28
202002126415,2,22
202002126544,1,37
202002126544,2,48
202002126579,1,37
202002126582,1,21
202002126587,1,25
202002126587,2,25
202002126601,1,23
202002126601,2,50
202002126620,1,36
202002126620,2,49
202002126631,1,48
202002126634,1,29
202002126635,1,19
202002126635,2,42
202002126635,3,59
202002126648,1,17
202002126648,2,24
202002126648,3,25
202002126661,1,60
202002126661,2,71
202002126738,1,21
202002126738,2,39
202002126741,1,20
202002126745,1,16
202002126745,2,55
202002126760,1,69
202002126769,1,36
202002126769,2,33
202002126774,1,28
202002126774,2,39
202002126779,1,19
202002126780,1,25
202002126780,2,41
202002126790,1,35
202002126794,1,22
202002126801,1,59
202002126801,2,55
202002126805,1,26
202002126805,2,34
202002126809,1,64
202002126809,2,45
202002126814,1,19
202002126814,2,73
202002126819,1,21
202002126827,1,21
202002126827,2,64
202002126829,1,54
202002126830,1,53
202002126830,2,59
202002126878,1,50
202002126883,1,60
202002126883,2,35
202002128018,1,82
202002128018,2,53
202002128039,1,64
202002128039,2,67
202002128066,1,28
202002128066,2,81
202002128173,1,29
202002128193,1,43
202002128193,2,36
202002128198,1,27
202002128198,2,37
202002128271,1,20
202002128271,2,44
202002128279,1,49
202002128279,2,41
202002128306,1,19
202002128306,2,79
202002128316,1,74
202002128320,1,22
202002128320,2,48
202002128325,1,47
202002128334,1,49
202002128334,2,69
202002128334,3,26
202002128346,1,22
202002128465,1,21
202002128465,2,24
202002128511,1,22
202002128511,2,38
202002128513,1,58
202002128513,2,69
202002128522,1,18
202002128522,2,69
202002128532,1,22
202002128532,2,24
202002128534,1,53
202002128591,1,31
202002128595,1,22
202002128595,2,78
202002130047,1,45
202002130047,2,23
202002130088,1,58
202002130120,1,33
202002130120,2,26
202002130208,1,32
202002130208,2,35
202002130209,1,29
202002130209,2,29
202002130227,1,18
202002130229,1,20
202002130229,2,43
202002130231,1,57
202002130250,1,54
202002130251,1,60
202002130251,2,38
202002130262,1,31
202002130342,1,60
202002130342,2,57
202002130353,1,38
202002130417,1,18
202002130417,2,45
202002130428,1,63
202002130428,2,45
202002130435,1,43
202002130435,2,53
202002130437,1,53
202002130437,2,56
202002130742,1,59
202002130839,1,30
202002130839,2,63
202002130839,3,30
202002130880,1,29
202002130885,1,59
202002130885,2,17
